factor,type,direction,ic_mean,ic_std,ic_ir,ic_positive_ratio,sharpe,long_sharpe,short_sharpe,ann_ret,long_ann_ret,short_ann_ret,max_dd,final_nav,n_days,avg_valid_count,ret_2022,ret_2023,ret_2024,ret_2025
jump_intensity,Intraday,-1,0.04761218686370585,0.13125832332746543,0.3627364880896529,0.6655219780219781,-1.7123908965209154,-0.8380172063119253,0.3111896543937947,-0.2296376032658881,-0.6790561872663174,-0.05021835611204295,-0.6460749411197091,0.35320106176440536,1456,209.97056810403834,-0.34768077994680924,-0.029538330329267337,-0.19741114169367657,-0.30483113570565856
fuzzy_ret_mean,Intraday,-1,0.02214939236864867,0.1134352555943248,0.19526019754615723,0.5776098901098901,-1.7162757326648326,-0.8009747161051861,0.2909302078160127,-0.1995637851811214,-0.6464118106525569,-0.10242961056631483,-0.6178073760225806,0.41149669490605884,1456,209.70773442847366,-0.2889744318432823,-0.07758155479450612,-0.2501426291932519,-0.16329090502089227
pv_corr_20,Daily,-1,0.04374685385601122,0.11702021521645276,0.37384010990486904,0.6627747252747253,-1.7393519893121492,-0.7559889567672264,0.27099145655889567,-0.1894919310222528,-0.6239345328655794,-0.09914711891349992,-0.5677691731170904,0.43254300267794943,1456,203.9315537303217,-0.22675265489555585,-0.2650110845934226,-0.00824787339143318,-0.23259093781625184
gammabias,Intraday,-1,0.08396060159923566,0.18439867985365718,0.4553210311085649,0.7012362637362637,-1.8482180570202489,-0.841701706083434,0.08977982538955981,-0.3167250446553055,-0.7094644763588923,-0.17596180011786577,-0.7861128372777973,0.21887424541526973,1456,208.5359342915811,-0.427431077106033,-0.1188795312539438,-0.21042451975264465,-0.45053764118021034
rsv_minus,Intraday,-1,0.09894473055594727,0.22117875458991013,0.4473518546837068,0.6895604395604396,-1.8608226062324345,-0.9342825698321894,0.08848045978139972,-0.35056597587367855,-0.7324583880872593,-0.1406007866977994,-0.8273000151245016,0.17872880909434907,1456,209.97056810403834,-0.45876114034313065,-0.19824395241268356,-0.25170359167659007,-0.44958572846807254
lambda_residual_std,Intraday,-1,0.09482272003380829,0.21935960210322056,0.4322706405461233,0.6840659340659341,-1.861014178521591,-0.9551440239620554,0.13319984865684292,-0.344983423915573,-0.7350669176429585,-0.11838431074133482,-0.8244582945886768,0.18493658581887995,1456,208.5359342915811,-0.43322048124496715,-0.22403256346749723,-0.26209632062523636,-0.4301434883385935
realized_vol,Intraday,-1,0.10119536932521826,0.21877338842834215,0.46255792547083446,0.6971153846153846,-1.9516818797821165,-0.9545764784044626,0.07124571674230437,-0.3578416548724114,-0.7343859741842513,-0.15160904110662288,-0.8345478780935123,0.1708742237003234,1456,209.97056810403834,-0.44695777206327725,-0.22671460611452754,-0.26613997302435577,-0.45554094950220625
ret_range_1h,Intraday,-1,0.092327861324085,0.21025727017548815,0.4391184992359119,0.6840659340659341,-1.9610518151042968,-0.9566826589129085,0.107480286953285,-0.3450433891808724,-0.7280634434341868,-0.13403481010023865,-0.8211585900796784,0.1848690585174491,1456,209.97056810403834,-0.4607523866068901,-0.22436954273402132,-0.277918892060811,-0.3878819856598832
vol_asymmetry,Intraday,-1,0.04225663356514671,0.12025002966841776,0.35140640021131664,0.6407967032967032,-1.996924764632424,-0.9108335592218825,0.299341936485661,-0.22899634026335158,-0.6653267958884282,-0.0809096445143791,-0.6615806952348314,0.3543753423264174,1456,209.70773442847366,-0.3286169337875393,-0.17482227442421272,-0.17273695060335836,-0.22678193915670952
rsv_plus,Intraday,-1,0.10221942568832276,0.2146867704400996,0.476132836305882,0.6957417582417582,-2.020070596738582,-0.9857570343075956,0.08147812456843243,-0.3628593103652086,-0.7395137640834547,-0.1473285117567924,-0.8396951863130314,0.165610066350748,1456,209.97056810403834,-0.4762218379603952,-0.22393916757432508,-0.27538659042941116,-0.43773996954664496
max_1h_ret,Intraday,-1,0.09109035180497105,0.19601203993244168,0.4647181223622049,0.6840659340659341,-2.028064153612178,-0.9888450316470261,0.15922102211357236,-0.3372525476184337,-0.7299289455317635,-0.11136712965680018,-0.8108342151808315,0.1937983598769973,1456,209.97056810403834,-0.41396655472846844,-0.27310506340154317,-0.2393597334533294,-0.4018959554882121
smart_ret,Intraday,-1,0.04368602741923588,0.1325689016773313,0.32953448034307126,0.6414835164835164,-2.03736154820497,-0.9871119055144357,0.30011426316931394,-0.2591568109662211,-0.699522410141959,-0.09740548497210122,-0.7171585096401201,0.3022266986618806,1456,209.70773442847366,-0.3604436758532561,-0.13098641757993756,-0.21445536025984435,-0.3077601516477121
vol_of_vol,Intraday,-1,0.08971724432810627,0.18291641851539314,0.4904821565579398,0.6957417582417582,-2.042590870289762,-0.9196892983296572,0.0962101550258037,-0.32640876310091227,-0.7074995481034766,-0.15204186765141836,-0.8018995642402552,0.20675989423600294,1456,209.97056810403834,-0.4387784302340795,-0.24608445960521885,-0.2764501803735583,-0.3246314823699874
max_sell_pressure_1h,Intraday,-1,0.04419531586548772,0.1174738742332123,0.3762139658015393,0.6559065934065934,-2.0774782578275497,-0.7034311674448582,0.07832526416156607,-0.2397747401345115,-0.6155753553974764,-0.21652915525133187,-0.674595788578934,0.33502246127102847,1456,209.97056810403834,-0.43899746002081685,-0.07591535865759813,-0.052617518614080705,-0.3178623895834044
intraday_idio_vol,Intraday,-1,0.10095810865907162,0.1974208583186931,0.5113851920461452,0.7051546391752577,-2.134254400917487,-1.011006078072815,0.09205051769381507,-0.3609435575765475,-0.7379748984261918,-0.1552189665005591,-0.839537731109051,0.16781111225138107,1455,208.92470910335388,-0.44697378462805615,-0.2643067304030996,-0.2677935901420492,-0.4366935972413878
lambda_stability,Intraday,-1,0.05223002858885834,0.11418675950796085,0.4574087594729351,0.6785714285714286,-2.1557809572402324,-0.7432257493769429,0.12820981600113146,-0.2430526438583973,-0.6408350033031252,-0.18585746313213414,-0.6693368998420686,0.32929718134156094,1456,208.5359342915811,-0.2642009697021551,-0.09686669198596654,-0.14173708292939213,-0.4226268360089934
intraday_idio_kurt,Intraday,-1,0.08550699969151955,0.1539160046665359,0.5555432284078643,0.7230240549828179,-2.3445178351654423,-0.9565530752470482,0.09712060207922905,-0.32411045006504524,-0.7017278093121813,-0.17138807017482316,-0.7995756462956483,0.2098134845624446,1455,208.6618754277892,-0.45688245953066553,-0.25626324542416146,-0.24487480359633973,-0.312137931147086
