date,lower_threshold,upper_threshold,n_symbols,raw_min,raw_max,raw_mean,raw_std
2020-01-31,0.0037967707337217727,0.04036050554115723,10,0.0037253433279165193,0.040367943267677786,0.019204636444684307,0.01310873305527032
2020-02-01,-0.015152356012979923,0.038575162977282425,10,-0.015556786530279032,0.03982798158629697,0.0043505031934647055,0.01841930082463698
2020-02-02,-0.018153821072094817,0.03638983553738579,10,-0.019527933059722558,0.0378746720966745,0.008964178460021122,0.01597122351254318
2020-02-03,-0.03146660486396426,0.04750950779526824,11,-0.032478762623055046,0.04935184034219242,-0.004295587604213305,0.024228539278448737
2020-02-04,0.03547144064342324,0.1617089666759331,12,0.035378844316520386,0.1681055483646825,0.07000530753651359,0.03855660696798645
2020-02-05,-0.021233195338878182,0.08613449108299415,13,-0.021755402862949413,0.09163019390781768,0.015567065079894821,0.029783223263191296
2020-02-06,-0.033900687594262874,0.13147913854386806,14,-0.03493393995396199,0.14396140689243242,0.008341902675964361,0.0445660276676493
2020-02-07,-0.031096856563526773,0.062168497570314125,15,-0.03373125658475462,0.06464176028484481,0.011212533329145425,0.025435255036166712
2020-02-08,0.0007243548506306286,0.14195208647941224,15,-1.0036991744288848e-05,0.15108443561303408,0.03142885562059281,0.03844838776767637
2020-02-09,-0.03776368908188211,0.011622976704435581,15,-0.0379968900500417,0.012625530203767,-0.01711404299038445,0.017844841269345366
2020-02-10,0.009820832747211095,0.16836074344825216,16,0.009528260696489488,0.1788838201913172,0.05027344211204948,0.04242898343305266
2020-02-11,-0.0003737700992326998,0.1342964863565512,17,-0.0005571632656148351,0.13649291097186578,0.050934775181387164,0.04067549278321512
2020-02-12,-0.053629960319820875,0.06947373387139957,18,-0.056286477404750346,0.07541524766289731,-0.008797886527372222,0.030508073598613152
2020-02-13,-0.002409178063556421,0.13652952968885995,19,-0.003801981988967529,0.14121821764786802,0.04417608768014583,0.03830602753942783
2020-02-14,-0.13057131506352018,-0.026914941248348236,20,-0.13405921993154624,-0.02330414733638464,-0.08877499550332682,0.025411074670382217
2020-02-15,-0.08066408362440833,0.028844218192026476,20,-0.08090273160390238,0.03255566890146566,-0.03951593887102242,0.03012792474101035
2020-02-16,-0.0581328699141818,0.06179363183421688,20,-0.061589173457921365,0.06868514298524175,-0.008847961701666369,0.030468913075280997
2020-02-17,0.009743598751032322,0.08248699973504531,21,0.007521265507725694,0.08764602695049306,0.04094078689223373,0.017684825361742058
2020-02-18,-0.10454724918284604,0.0196894835528654,21,-0.10472753308208405,0.033581201516795556,-0.07416641323651096,0.030206252702572225
2020-02-19,-0.027897284517963982,0.06389241105402114,21,-0.02800937956893268,0.07544241895506199,-0.004342946262009711,0.02237214595783964
2020-02-20,-0.029054087496176773,0.0978102096167606,22,-0.03635496095670032,0.10727564449767146,0.021605436247647256,0.02831557929473036
2020-02-21,-0.049340285136530486,0.02652223434404069,23,-0.05212378018107522,0.028250506985663115,-0.00883756548525071,0.01814054965698866
2020-02-22,-0.03130116153204008,0.07775073357850207,23,-0.04342210804504576,0.07790888572325128,0.0419027596246924,0.02512517303058845
2020-02-23,-0.09201880450211344,-0.029464562898867515,23,-0.09463009457463001,-0.02856383790678596,-0.05321767723963955,0.017510837225544817
2020-02-24,-0.1157001351725759,0.004544977535394878,23,-0.11757352875500227,0.010909288812111173,-0.06437005938221685,0.028276997827118074
2020-02-25,-0.16173643680642966,0.011585312870077734,23,-0.16556756677793305,0.020720898168209434,-0.0973031877659916,0.04020324565976955
2020-02-26,-0.006112057646740543,0.09994276643905255,23,-0.006834316724036338,0.1100971114409115,0.026529545415482386,0.024829415286893013
2020-02-27,-0.040319364311554654,0.04223525051753321,23,-0.041470235798381494,0.05222660543088664,-0.013683150199157938,0.019607529964794194
