logic,window,penalty,dir_th,opt_sharpe,opt_ret,opt_dd,test_sharpe,test_ret,test_dd,test_total
sma+dir,7,1000,0.003,1.1873473178891116,0.3772951402722611,0.2592563356570237,-0.10294655760266372,-0.069893669685822,0.21310577505743802,-0.01085869656322258
sma,10,50,OFF,1.6086332331441762,0.5657397748793764,0.22829603336506937,1.1035824299295667,0.33263533275397483,0.12801821459525747,0.04422026509745414
ewm,10,50,OFF,1.7952584424383795,0.6713903243082209,0.2279839165978406,1.0073434630209113,0.282010888421778,0.1407199706854196,0.03814413677846784
sma+dir,10,50,0.001,1.5652097041421675,0.5416419513971629,0.2862316692732039,-0.01784407707749992,-0.04237051541476344,0.179598096460201,-0.006502570114673922
sma+dir,10,50,0.002,1.7031653042432564,0.5934684908926786,0.24357609940544664,0.8871284350597995,0.23258839539347176,0.1691753402270922,0.03201239958364499
sma+dir,10,50,0.003,1.689641846955434,0.5865210016427718,0.21758749692193405,1.461238141523293,0.44677151475541765,0.15724103917052495,0.057230918243002415
sma,10,100,OFF,1.8330687092990738,0.6938319360967959,0.23574161551704237,2.4395951364108375,0.9726449165331821,0.14452300159913167,0.10779506455616938
ewm,10,100,OFF,1.7972030326427326,0.6749740865584524,0.24131582367995968,2.694903167630497,1.0964529427778693,0.14175285856657233,0.1180029849709956
sma+dir,10,100,0.001,1.6847712823536407,0.6166697651947635,0.25506875469485185,0.950173044613365,0.2647523359419084,0.20822598983812698,0.03602608528279694
sma+dir,10,100,0.002,1.76518726601196,0.6480709903697455,0.24497245367321505,1.5980874301351324,0.5137711859228795,0.1865752066437935,0.06446739669018009
sma+dir,10,100,0.003,1.7971252770060944,0.6642551608924476,0.23252608378910014,1.7257984000721127,0.5748940423658193,0.17795160958433084,0.07083560929962207
sma,10,150,OFF,1.8669436523292129,0.7061940113841978,0.25361046937408693,3.4826656107110536,1.5261532586176827,0.13914027542287885,0.14985906032973828
ewm,10,150,OFF,1.91380094943961,0.7397270485433045,0.2529494944133323,3.4587861861388007,1.4927428055913232,0.1384142471025082,0.14755449281412036
sma+dir,10,150,0.001,1.718643464275407,0.6300579670987005,0.26893322047954826,1.4935994914363324,0.46092480202376507,0.18968253370715174,0.05878294770656067
sma+dir,10,150,0.002,1.806482907146294,0.6689617391366458,0.2649018146671347,2.1535637247566384,0.7326503921524692,0.17374263656093875,0.08635093334965771
sma+dir,10,150,0.003,1.8241751429848456,0.6754505577913388,0.2512885240922237,2.4393500615843093,0.8846786280460703,0.17088062765575548,0.10020626729042159
sma,10,200,OFF,1.9293290992257839,0.7328845504046666,0.2527227866743589,3.5549357006930884,1.5371023184358656,0.14360921469516938,0.15060866729002287
ewm,10,200,OFF,1.8893970730461007,0.7181292179057477,0.25303178424625344,3.718748417160037,1.6452923846917735,0.14173489179168738,0.1578716426522786
sma+dir,10,200,0.001,1.7930139393592597,0.6636463570686717,0.27783323772970875,1.7757998404665796,0.5504311277808636,0.17219145597224372,0.06831252162545365
